EnsemblGeneID	EnsemblTranscriptID	EnsemblProteinID	Adrenal_iBAQ	Appendices_iBAQ	Brain_iBAQ	Colon_iBAQ	Duodenum_iBAQ	Endometrium_iBAQ	Esophagus_iBAQ	Fallopiantube_iBAQ	Fat_iBAQ	Gallbladder_iBAQ	Heart_iBAQ	Kidney_iBAQ	Liver_iBAQ	Lung_iBAQ	Lymphnode_iBAQ	Ovary_iBAQ	Pancreas_iBAQ	Placenta_iBAQ	Prostate_iBAQ	Rectum_iBAQ	Salivarygland_iBAQ	Smallintestine_iBAQ	Smoothmuscle_iBAQ	Spleen_iBAQ	Stomach_iBAQ	Testis_iBAQ	Thyroid_iBAQ	Tonsil_iBAQ	Urinarybladder_iBAQ
ENSG00000102699	ENST00000381989	ENSP00000371419	54280000	1612800	8928400	31087000	160580000	14088000	30819000	19172000	12901000	80817000	26296000	20431000	5306500	52102000	18199000	19678000	55619000	26367000	3236600	63327000	14800000	92709000	5457300	14974000	24453000	64393000	5269700	22641000	13539000
ENSG00000102710	ENST00000350612	ENSP00000218894	449960	489400	112370	390100	5838900	417740	0	1922000	137800	4330600	3596600	1144200	383850	1344400	843210	413940	1151700	1713600	60693	435290	633220	869890	82512	0	0	1106000	1259700	6005700	20246
ENSG00000102738	ENST00000323563	ENSP00000315397	32437000	2196100	55081000	21613000	244690000	14596000	19413000	20983000	5395300	21925000	141870000	30704000	36437000	47109000	21862000	10016000	13482000	34272000	9316100	36297000	40317000	63499000	6550300	10746000	8603700	14785000	3191800	31887000	8742200
ENSG00000102743	ENST00000338625	ENSP00000342267	881630	597450	6646600	1650400	192580000	1909200	7357800	1585700	995210	2798200	2499600	5273400	574860000	8323800	106580	299380	17545000	8025900	537290	2426400	2721600	117460000	358940	9339300	2589600	24698000	97108000	0	1502100
ENSG00000102753	ENST00000261667	ENSP00000261667	32716000	9372800	186400000	19919000	235430000	64897000	102260000	42024000	30099000	95593000	233920000	9854000	101420000	88229000	70691000	40787000	4491100	107030000	17373000	106360000	23864000	102180000	17421000	50641000	26687000	174630000	29001000	83247000	19807000
ENSG00000102755	ENST00000282397	ENSP00000282397	1888700	275960	2069200	2514900	2578200	5239800	1173500	1013900	4248200	5992800	5422000	2950800	3009700	3280900	324490	1384700	2073300	237760000	157580	583150	40215	2225100	4750300	777930	3392300	538220	16817000	221180	100950
ENSG00000102760	ENST00000379359	ENSP00000368664	14548000	753410	22620000	1624000	2299600	5725000	41786000	3980800	36562000	5308900	9651600	10928000	0	13197000	11665000	1083800	2659800	392370000	2325700	0	22210000	8973200	2759300	33807000	747320	0	8723300	6509300	1480800
ENSG00000102763	ENST00000281496	ENSP00000281496	0	0	0	0	358040	0	0	0	0	0	122690	0	0	0	0	0	0	0	14643	0	0	780200	0	0	0	0	329890	201570	0
ENSG00000102763	ENST00000379310	ENSP00000368612	44452000	1838300	20807000	10794000	80873000	10001000	17893000	4512000	9665500	23665000	147660000	54168000	111630000	6672500	5840800	7316100	45446000	9701800	2265400	15031000	50465000	40771000	1397100	3128800	4650000	6928300	59582000	15936000	1320500
ENSG00000102780	ENST00000627777	ENSP00000486838	363040	33472	7443400	991220	4092700	5333200	431810	1046200	698660	109130000	289330	469580	2199700	3275700	70769	525900	1262800	6228700	32447	198930000	137010	2095300	2506700	183100	421090	1010400	140630	703580	137580
ENSG00000102781	ENST00000380617	ENSP00000369991	413370	0	45747000	204470	3348200	3040800	3486600	5916800	2759800	3808800	6281500	129470	396110	2697800	447240	46913000	13195000	0	812320	2470400	573500	5310000	1831700	483980	182830	14089000	325720	1148200	529160
ENSG00000102786	ENST00000398119	ENSP00000381187	3039400	859470	12026000	707700	17515000	4732100	2175900	2698200	778280	6113700	37051000	1912400	1436500	7455100	6582600	4082200	2032700	4262800	827710	2591400	1509500	3993000	442990	2884300	4105700	7618300	2209200	5810600	813080
